,paragraph
0,"[{'summary_text': 'Multiple wildfires in Greece have killed one person, injured several people and burned dozens of homes, after an historical heatwave for the country. Authorities have evacuated several villages and towns. A volunteer firefighter is killed by a fallen electricity pylon, while another man dies in a factory. Twenty more people are wounded.'}]"
1,"[{'summary_text': 'On 7 August, the Taliban had captured Sheberghan, making it the second capture of a provincial capital. Abdul Rashid Dostum, the ex-warlord and the strongman who had traditionally dominated the city, took his followers and fled to Khwaja Du Koh District, the only area in Jowzjan Province which was still government-held. Meanwhile, pro-government forces had been reduced to a pocket of resistance in Lashkar Gah, while Kandahar and Herat remained fiercely contested. Insurgents also launched repeated raids on the other provincial capitals'}]"
2,"[{'summary_text': 'On 2 August there were 15 new cases of COVID-19, 2 overseas acquired. Consequently, the South-east Queensland’s lockdown was extended until 4:00pm on 8 August (Sunday). The same day, because of the extension, the Ekka agricultural show was cancelled for the second year, 5 days before it was to be open to the public from 7 August (Saturday). [ADD] <Timeline - Brisbane lockdowns> -- Cairns and Yarrabah enter a snap three-day lockdown after an ""unexpected"" case of'}]"
3,"[{'summary_text': 'On 8 August the lockdown in SE Queensland ended, though some restrictions remained in force, including mandatory wearing of masks. This was due to an ""unexpected"" case of COVID-19, a taxi driver who was infectious in the community for ten days.'}]"
4,"[{'summary_text': 'On 9 August, Cairns went into lockdown from 4:00pm for three days. The next festival event is scheduled for Saturday, 22 May 2021. <Event cancellations> -- CairNS and Yarrabah enter a snap three-day lockdown after an ""unexpected"" case of COVID-19 was reported in a taxi driver from Kanimbla who was infectious in Far North Queensland for 10 days.'}]"
5,"[{'summary_text': 'Palauans began receiving COVID-19 vaccines in 2021. As a member of the Compact of Free Association with the United States, Palau has received vaccines from Operation Warp Speed. According to the Ministry of Health, vaccination started on 3 January and as of 12 April 40% of the population was fully vaccinated. By 26 May, an estimated 96% of adults (18 and over) in the country had been fully vaccinated, about 70% of all Palauans. Plans were also announced to start vaccinating adolescents from 12 to'}]"
6,"[{'summary_text': 'Egypt is the most popular tourist destination for Russians traveling abroad. A basic vacation package including flight, hotel and meals can be purchased for as little as US$1,000. Direct commercial flights between Russia and Egypt resume for the first time since the Metrojet Flight 9268 bombing in 2015, which killed 224 people, most of whom were Russian tourists. A Rossiya Airlines passenger plane landed in Sharm El Sheikh carrying 518 passengers, and was welcomed with a water cannon salute, roses and flags.'}]"
7,"[{'summary_text': 'In August 2021, direct commercial flights between Russia and Egypt resumed for the first time since the Metrojet Flight 9268 bombing in 2015, which killed 224 people, most of whom were Russian tourists. A Rossiya Airlines passenger plane landed in Sharm El Sheikh carrying 518 passengers, and was welcomed with a water cannon salute, roses and flags.'}]"
8,"[{'summary_text': ""The Taliban captured the cities of Kunduz and Sar-e Pol after heavy clashes with the Afghan National Security Forces. In the battles for the two cities, mass desertions were reported, as many Afghan National Army soldiers had been demotivated by the rapid rebel advance as well as Taliban propaganda. Pro-government forces were only able to hold onto Kunduz's military base and airport.""}]"
9,"[{'summary_text': 'On 9 August, the Taliban captured Aybak, the capital of Samangan province. Deputy governor Sefatullah Samangani told the AFP news agency that government forces had withdrawn from the city without a fight after community representatives had requested that it be spared more violence. On the same day, Asif Azimi, a former senator from Samangan and a prominent warlord from the Jamiat-e Islami party, defected to the Taliban. Azimi said hundreds of men under his command had also'}]"
10,"[{'summary_text': 'Fighting intensified around Mazar-i-Sharif on 10 August. In Farah, capital of Farah Province, the Taliban had taken control of the governor\'s compound with heavy fighting between the Taliban and government forces. They had also taken the police headquarters and prison. Although heavy fighting continued, Farah is the seventh provincial capital to fall. According to a U.S. defence official, the airstrikes since 2 July amounted to only ""a handful"" each day.'}]"
11,"[{'summary_text': 'Taliban tightens its grip in many districts and cities in northern Afghanistan as Afghan President Ashraf Ghani calls on local militias to fight the armed group. Pentagon spokesman John Kirby says that the United States is willing to continue their airstrike campaign against the Taliban but warned that ""it is up to the Afghan government to defend themselves""'}]"
12,"[{'summary_text': 'On 9 August, the Taliban captured Aybak, the capital of Samangan province. Deputy governor Sefatullah Samangani told the AFP news agency that government forces had withdrawn from the city without a fight after community representatives had requested that it be spared more violence. On the same day, Asif Azimi, a former senator from Samangan and a prominent warlord from the Jamiat-e Islami party, defected to the Taliban. Azimi said hundreds of men under his command had also'}]"
13,"[{'summary_text': 'Fighting intensified around Mazar-i-Sharif on 10 August. In Farah, capital of Farah Province, the Taliban had taken control of the governor\'s compound with heavy fighting between the Taliban and government forces. They had also taken the police headquarters and prison. Although heavy fighting continued, Farah is the seventh provincial capital to fall. According to a U.S. defence official, the airstrikes since 2 July amounted to only ""a handful"" each day.'}]"
14,"[{'summary_text': 'On 1 June 2021, the World Bank released a report which warned that the economic crisis in Lebanon would risk becoming one of the three most severe since the mid-19th century, if its ""bankrupt economic system, which benefited a few for so long"" weren\\\'t reformed. [ADD] <Consequences> -- The Central Bank of Lebanon ends fuel subsidies, announcing that it would instead offer ""credit lines for fuel imports based on the market price for the Lebanese pound"". The decision is likely to result in a significant increase in fuel prices amid an economic crisis'}]"
15,"[{'summary_text': 'On 11 August, the Taliban captured Fayzabad, Badakhshan Province the former headquarters of the Northern Alliance prior to the U.S. invasion of Afghanistan, making it the ninth provincial capital to be captured by the Taliban. [ADD] On the same day, theTaliban captured Kunduz Airport after hundreds of Afghan troops surrendered, securing Taliban control over their military equipment.    US intelligence officials said that Kabul could fall in a matter of months if the advance'}]"
16,"[{'summary_text': 'On 11 August, Fayzabad of Badakhshan Province became the ninth provincial capital to be captured by the Taliban. On the same day, the Taliban captured Kunduz Airport and a major military base belonging to 217 Pamir Corps after hundreds of Afghan troops surrendered, securing Taliban control over their military equipment in Kunduz. The military base was responsible for security'}]"
17,"[{'summary_text': 'On 9 August, #SanctionPakistan became one of the top Twitter trends in Afghanistan and worldwide, with Afghans holding Pakistan responsible for its support of the Taliban. [ADD] <2011 - Timeline> -- The Taliban captures the provincial capitals of Ghazni, Qala e Naw, Kandahar and Herat, bringing the number of provincial capitals taken in the past seven days to thirteen.   '}]"
18,"[{'summary_text': ""By 12 August, about two-thirds of the country was in Taliban hands, with only four cities outside of Taliban control. Sectors of the United States government estimated that Kabul would fall within 30 days, and American diplomats were reportedly requesting that the Taliban not deface the American embassy there. Today it produces 93% of the global crop, and the drug trade accounts for half of Afghanistan's GDP.""}]"
19,"[{'summary_text': 'On 12 August, the Taliban captured the city of Ghazni, making it the tenth provincial capital to fall within a week. On the same day, the central government offered a proposal of ""power-sharing"" in lieu of ceasefire; Taliban has not responded as of yet. Late that night, Herat, Afghanistan\'s third-largest city and the capital of an eponymous'}]"
20,"[{'summary_text': 'After several weeks of fighting in the Battle of Lashkargah, the city of Lashkar Gah, capital of Helmand Province, was captured by the Taliban on 13 August. On the same day, the Taliban took control of Feruz Koh, the capital city of Afghanistan’s western province of Ghor. Officials said the city fell without any fighting, becoming the 15th provincial capital to fall to the Taliban within a week.'}]"
21,"[{'summary_text': ""On 1 January 2021, a roadside bomb killed two members of Egypt's security forces and wounded five others near Bir al-Abd in the northern Sinai Peninsula. In the Gaza Strip, eight soldiers are killed and six more are wounded when a roadsideBomb explodes in Rafah, Egypt. The Islamic State claims responsibility for the attack.""}]"
22,"[{'summary_text': 'On February 9, 2021, local sources reported that six fighters of the tribal militias supporting the Egyptian regime had been killed and another fighter had been abducted in central Sinai in an ISIS ambush. February 22, 2021,. ISIS operatives fired at an Egyptian army patrol south of Sheikh Zuweid, near a roadblock. In the Gaza Strip, eight soldiers are killed and six more are wounded when a roadside bomb explodes in Rafah, Egypt. The Islamic State claims responsibility for the attack.'}]"
23,"[{'summary_text': ""On July 31, ISIS militants ambushed a group of Egyptian soldiers at their security checkpoint in Sheikh Zuweid, northern Sinai. On June 4, an Egyptian officer was killed in Sinai: Ahmad Jum\\'ah, an intelligence officer with the rank of lieutenant colonel. The attack was blamed on ISIS.""}]"
24,"[{'summary_text': 'On 3 ISIS militants were also killed in the shootout.  The Islamic State claims responsibility for the attack.   The Egyptian military says it is investigating the incident and that the death toll is expected to rise as more soldiers are wounded. The death toll now stands at eight, according to the Egyptian military.'}]"
25,"[{'summary_text': 'On August 9, an ISIS IED was activated south of Rafah against an Egyptian army vehicle killing Mohammad Abd Motagalli, an Egyptian Army colonel. Now, daily clashes with militants in North Sinai are reported by the army. The insurgency has not spread to south Sinai, where there are tourist hubs. In the northeastern part of the peninsula, checkpoints have often been established by militants as the army lack the power to stop them.'}]"
26,"[{'summary_text': 'On [ADD] August 13, eight soldiers were killed and six more wounded as a roadside bomb explodes in Rafah, Egypt. The Islamic State claimed responsibility for the attack. <Reactions - Israel> -- Eight soldiers are killed and five more are wounded when a roadside'}]"
27,"[{'summary_text': 'In June 2021, Michigan surpasses 20,000 deaths from COVID-19. August 2, 2021 (2021-08-02): The state says 33 of its 83 counties reported ""substantial or high"" transmission rates, up from just 10 rural counties during the final week of July, due to increased community transmission of the Delta variant.'}]"
28,"[{'summary_text': 'On [ADD] <Condensed timeline - June 2021> -- Michigan surpasses 20,000 deaths from COVID-19.    ""Michigan"" is the largest state in the U.S. that has been affected by the COVID program.  ""On June 20, 2021, the state of Michigan had more than 100,000 COVID deaths.""  ""The death toll has now reached more than 19,000.""'}]"
29,"[{'summary_text': ""Michigan surpasses 20,000 deaths from COVID-19. nan -- Michigan surpasses the number of people killed by COVID. nan in the state in the first year of COVID 19. nan. nan, the state's first COVID program, was launched in 2010.""}]"
30,"[{'summary_text': 'After several weeks of fighting, the city of Lashkargah, capital of Helmand Province, was captured by the Taliban on 13 August. On the same day, the Taliban took control of Chaghcharan (also called Firozkoh), the capital city of Ghor Province. Officials said the city fell without any fighting, becoming the fifteenth provincial capital to fall to the Taliban within a week. FiroZkoh has a population of nearly 132,000 people.'}]"
