,Num of pars
0,84
1,2
2,9
3,13
4,102
5,14
6,12
7,17
8,37
9,13
10,60
11,99
12,88
13,109
14,11
15,9
16,12
17,63
18,2
19,11
20,120
21,54
22,95
23,10
24,10
25,29
26,40
27,55
28,60
29,2
30,49
31,3
32,88
33,12
34,12
35,2
36,39
37,59
38,19
39,52
40,65
41,2
42,4
43,7
44,82
45,83
46,11
47,22
48,31
49,56
50,51
51,57
52,62
53,59
54,80
55,83
56,100
57,26
58,18
59,9
60,27
61,23
62,117
63,120
64,39
65,41
66,45
67,45
68,334
69,26
70,48
71,1
72,41
73,4
74,37
75,41
76,7
77,6
78,4
79,9
80,2
81,69
82,92
83,75
84,83
85,12
86,95
87,62
88,36
89,41
90,13
91,96
92,97
93,69
94,2
95,42
96,25
97,6
98,6
99,7
100,60
101,46
102,51
103,24
104,48
105,28
106,86
107,86
108,104
109,105
110,1
111,14
112,42
113,148
114,147
115,106
116,2
117,2
118,33
119,33
120,11
121,11
122,2
123,8
124,63
125,1
126,3
127,22
128,123
129,3
130,128
131,37
132,41
133,20
134,125
135,133
136,139
137,26
138,121
139,125
140,137
141,4
142,141
143,1
144,2
145,2
146,6
147,124
148,3
149,3
150,27
151,28
152,29
153,2
154,2
155,2
156,136
157,134
158,3
159,2
160,40
161,145
162,143
163,6
164,49
165,10
166,3
167,22
168,37
169,52
170,51
171,51
172,51
173,52
174,56
175,54
176,54
177,54
178,155
179,56
180,2
181,2
182,56
183,46
184,12
185,30
186,3
187,163
188,190
189,194
190,234
191,239
192,3
193,3
194,2
195,124
196,54
197,2
198,2
199,223
200,76
201,40
202,37
203,35
204,54
205,58
206,218
207,2
208,10
209,13
210,11
211,142
212,45
213,138
214,12
215,103
216,17
217,105
218,195
219,6
220,1
221,3
222,3
223,143
224,76
225,91
226,53
227,23
228,92
229,113
230,113
231,113
232,52
233,1
234,23
235,113
236,142
237,41
238,1
239,3
240,168
241,14
242,13
243,14
244,25
245,26
246,145
247,6
248,153
249,33
250,3
251,228
252,11
253,115
254,16
255,36
256,16
257,5
258,33
259,9
260,92
261,92
262,22
263,22
264,3
265,45
266,45
267,66
268,2
269,13
270,86
271,11
272,11
273,14
274,24
275,26
276,29
277,220
278,220
279,30
280,60
281,29
282,15
283,18
284,19
285,2
286,9
287,9
288,10
289,2
290,2
291,51
292,8
293,8
294,1
295,222
296,5
297,6
298,4
299,2
300,20
301,65
302,117
303,7
304,2
305,9
306,35
307,2
308,27
309,7
310,8
311,2
312,5
313,5
314,5
315,7
316,7
317,88
318,11
319,7
