,paragraph,target
0,"Venezuela is a major producer of oil products, which remain the keystone of the Venezuelan economy. Chávez has gained a reputation as a price hawk in OPEC, pushing for stringent enforcement of production quotas and higher target oil prices. At a June 2006 meeting, Venezuela was the only OPEC country calling for lowered production to drive oil prices higher. Industry analysts say Venezuela wants lower quotas because, under Chávez's administration, the output of Petróleos de Venezuela S.A. (PDVSA), Venezuela's state-owned oil company, has been reduced by 25% and Venezuela cannot meet its current quota. However, Forbes argues that some oil production numbers are politically motivated, intended to discredit the Venezuelan industry. Nonetheless, Chávez has attempted to broaden Venezuela's customer base, striking joint exploration deals with other developing countries, including Argentina, Brazil, China and India. Record oil prices have meant more funding for social programs, but have left the economy increasingly dependent on both the Chávez government and the oil sector; the private sector's role has correspondingly diminished. He has also attempted to repatriate more oil funds to Venezuela by raising royalty percentages on joint extraction contracts that are payable to Venezuela. Chávez has also explored the liquidation of some or all of the assets belonging to PDVSA's U.S.-based subsidiary, Citgo. The Ministry of Energy and Petroleum has been successful in restructuring Citgo's profit structure, resulting in large increases in dividends and income taxes from PDVSA. <Impact of Presidency - Economic policy> -- United States Representative Charles Rangel (D) also said in a press release that an attack on Bush is ""attack on all of us (Americans)."" 
",0
1,"Chávez's version of Bolivarianism, although drawing heavily from Simón Bolívar's ideals, was also influenced by the writings of Marxist historian Federico Brito Figueroa. Chávez was well acquainted with the various traditions of Latin American socialism espoused by Jorge Eliécer Gaitán and Salvador Allende and from a young age by the Cuban revolutionary doctrine of Che Guevara and Fidel Castro. Other key influences on Chávez's political philosophy include Ezequiel Zamora and Simón Rodríguez. Other indirect influences on Chávez's political philosophy are the writings of Noam Chomsky and the teachings of Jesus as recorded in the Bible (Chávez describes Jesus as the world's first socialist.) Although Chávez himself refers to his ideology as Bolivarianismo (""Bolivarianism""), Chávez's supporters and opponents in Venezuela refer to themselves as being either for or against ""chavismo."" Thus, Chávez supporters refer to themselves not as ""Bolivarians"" or ""Bolivarianists,"" but rather as ""chavistas."" <Personal life> -- United States Representative Charles Rangel (D) also said in a press release that an attack on Bush is ""attack on all of us (Americans)."" 
",0
2,"""Most of those documents are fabricated,"" she said, ""and the stories that have been spun around them are absolutely wrong."" <Charges of corruption> -- 2007 Karachi bombings: At least 138 people are killed and 600 injured as two bombs explode near a truck carrying Benazir Bhutto. 
",0
3,"The deal reached with Schlegelmilch reflected concerns about French corruption laws, which forbid bribery of French officials but permit payoffs to foreign officials, and even make the payoffs tax-deductible in France. The Swiss and the French have resisted American pressures to sign a worldwide treaty that would hold all businesses to the ethical standards of American law, which sets criminal penalties for bribing foreign officials. <Charges of corruption - France> -- 2007 Karachi bombings: At least 138 people are killed and 600 injured as two bombs explode near a truck carrying Benazir Bhutto. 
",0
4,"A Dassault spokesman, Jean-Pierre Robillard, said Carrayrou, the legal affairs director, had retired. Two weeks after he was sent a summary of the documents, Robillard said that the company had decided to make no comment. <Charges of corruption - Middle East> -- 2007 Karachi bombings: At least 138 people are killed and 600 injured as two bombs explode near a truck carrying Benazir Bhutto. 
",0
5,"Bhutto is currently (as of September 2004) based in Dubai, United Arab Emirates, where she cares for her children and her mother, who is suffering from Alzheimer's disease, and from where she travels around the world giving lectures and keeping in touch with the Pakistan Peoples Party's supporters. <During Exile - Early 2000s> -- 2007 Karachi bombings: At least 138 people are killed and 600 injured as two bombs explode near a truck carrying Benazir Bhutto. 
",0
6,"On -- Georgian riot police use tear gas, water and sonic cannons to break up thousands of anti-government protesters calling for the resignation of President Mikhail Saakashvili in Tbilisi.   
",0
7,"The rally was organized by an alliance of major opposition parties with the exception of the New Rights which distanced themselves from the manifestation stating that it was ""not the way from one temple to another, it is substitute of one leader with another."" <28 September 2007 protests> -- The President announces a 15-day nationwide state of emergency. 
",0
8,"On An opinion poll published in the Figaro estimates 2/3rds of the French are against the strike, and the Ministry of Economy has declared the strike is costing THE State €400 million a day. [ADD] November 21, the CGT called for the strikes to stop as the government has allegedly agreed to negotiate. According to the SNCF, the operator of the national train lines 23% of their staff are still on strike, while the RATP operating the Paris Métro, and some suburban trains claims 16% of their staff are on strike. [ADD] However the service on the Parisian trains and Métro is still below 25%, due to the fact that most of the strikers are train drivers. -- Public railway company SNCF says its TGV train network has been disrupted by a ""concerted campaign of sabotage"". 
",0
9,"In the 1968 election, Lyndon B. Johnson initially decided to seek re-election. He entered the New Hampshire primary and won. However, he had a national poll conducted, which yielded results not in his favor. In a nationally televised speech, Johnson announced to the public that he would not seek re-election. Incumbent Vice President Hubert Humphrey ran instead and was the eventual Democratic Party nominee. <2008 presidential election characteristics - First election without incumbents in the primaries since 1928> -- Former North Carolina Senator John Edwards withdraws his candidacy. 
",0
