,paragraph,target
0,"On September 19, 2006, Chávez addressed the UN General Assembly, drawing some applause and tentative giggling by calling George Bush ""the devil"". Chávez accused the U.S. government of ""domination, exploitation and pillage of peoples of the world"". At the start of his talk, Chavez held up a book by American writer Noam Chomsky, ""Hegemony or Survival: America's Quest for Global Dominance,"" and recommended it to everyone in the General Assembly, as well as to the American people. [ADD] A number of prominent American politicians like Nancy Pelosi and Charles Rangel--vocal opponents of President Bush, condemned Chavez's repeatedly calling the President ""the devil."" <Criticism> -- United States Representative Charles Rangel (D) also said in a press release that an attack on Bush is ""attack on all of us (Americans)."" 
",1
1,"On June 14 [RM] Hamas took control of the Gaza strip. The fighting continued in Nablus, the West Bank. [ADD] Hamas also launched attacks on the south of Gaza Strip . <Background - March 2006 to December 2006 rise of tensions> -- Hamas claims full control of Palestinian Authority security agencies on the Gaza Strip. 
",1
2,"United States: US Secretary of State Condoleezza Rice said just before the imposition of a state of emergency that ""the United States would not be supportive of extra-constitutional means...Pakistan needs to prepare for and hold free and fair elections."" After the declaration she said that she was ""deeply disturbed."" White House National Security Council spokesman Gordon Johndroe called the action ""very disappointing"" and added that Musharraf ""needs to stand by his pledges to have free and fair elections in January and step down as chief of army staff before retaking the presidential oath of office."" [RM] <International reaction> -- President Pervez Musharraf declares a period of emergency rule amid rising militant violence.  
",1
3,"The protests continued in the following days; a televised statement from Okruashvili was seen as a boost in support for the opposition. The protest were broken up on 2007-11-07 by the police to clear the road for traffic; protests were, however, allowed to continue provided they did not obstruct traffic. [ADD] <November 2007 protests> -- Georgian riot police use tear gas, water and sonic cannons to break up thousands of anti-government protesters calling for the resignation of President Mikhail Saakashvili in Tbilisi.   
",1
4,"Two [RM] opposition TV stations have gone off the air: Imedi TV and Kavkasia. Police officers in masks and assault rifles were seen sealing off the Imedi office. [ADD] independent TV stations have gone off the air: Imedi TV (that had carried statements by opposition leaders and broadcast footage of police breaking up protests) and Kavkasia. <November 2007 protests> -- The President announces a 15-day nationwide state of emergency. 
",1
5,"The 2007 Pakistani state of emergency, was declared by Pakistani Chief of Army Staff Pervez Musharraf on 3 November 2007. In the early hours of the state of emergency the army raided the Supreme Court building in Islamabad while the Justices were inside. Information Minister Tariq Azim Khan said on television media that the general election scheduled for January will be delayed indefinitely. Later the election was scheduled to take place by 15 February 2008, as announced by Musharraf himself. [ADD] He later called for the election date to be on or before 9 January 2008. <Summary> -- Former Pakistani Prime Minister Benazir Bhutto tells journalists in Lahore that she has ended talks with President Pervez Musharraf over power sharing. 
",1
6,"Information Minister Tariq Azim Khan said on television media that the general election scheduled for January will be delayed indefinitely. Later the election was scheduled to take place by 15 February 2008, as announced by Musharraf himself. He later called for the election date to be on or before 9 January 2008, and it was finally called for 2008-01-08. [RM] <Summary> -- Musharraf announces the 2007 Pakistani state of emergency will be lifted on 2007-12-16. 
",1
7,"After [ADD] <Summary> -- Musharraf announces the 2007 Pakistani state of emergency will be lifted on 2007-12-16. 
",1
8,"Dennis Kucinich, U.S. Congressman of Ohio, withdrew on January 25th to focus on re-election to his congressional seat. [RM] <Candidates and potential candidates - Democratic Party> -- Former North Carolina Senator John Edwards withdraws his candidacy. 
",1
9,"Jim Gilmore, former Governor of Virginia, a presidential candidate from December 19, 2006 to July 14, 2007, withdrew from seeking the Republican nomination, citing fundraising problems. [ADD] (Campaign Article) <Candidates and potential candidates - Republican Party> -- Former North Carolina Senator John Edwards withdraws his candidacy. 
",1
10,"[RM] Jon A Greenspon of California <Candidates and potential candidates - Withdrawn candidates (minor parties)> -- Former North Carolina Senator John Edwards withdraws his candidacy. 
",1
11,"nan -- Former North Carolina Senator John Edwards withdraws his candidacy. 
",1
