,document
0,"[RM] Multiple wildfires in Greece have killed one person, injured several people and burned dozens of homes, after an historical heatwave for the country. [SUB] Since the beginning of August 2021, multiple wildfires in Greece have killed two people, injured at least 20 others and burned dozens of homes, after an historical heatwave for the country. Authorities have evacuated several villages and towns. <Summary> -- Mass evacuations are carried out in the northern suburbs of Athens as wildfires continue to burn on the outskirts of the capital. A volunteer firefighter is killed by a fallen electricity pylon, while another man dies in a factory. Twenty more people are wounded. 
"
1,"On 7 August, the Taliban had captured Sheberghan, making it the second capture of a provincial capital. Abdul Rashid Dostum, the ex-warlord and the strongman who had traditionally dominated the city, took his followers and fled to Khwaja Du Koh District, the only area in Jowzjan Province which was still government-held. Meanwhile, pro-government forces had been reduced to a pocket of resistance in Lashkar Gah, while Kandahar and Herat remained fiercely contested. Insurgents also launched repeated raids on the other provincial capitals. The following day, the Taliban overran most of Kunduz and Sar-e Pol city after heavy clashes with the Afghan National Security Forces. In the battles for the two cities, mass desertations were reported, as many Afghan National Army soldiers had been demotivated by the rapid rebel advance as well as Taliban propaganda. Pro-government forces were only able to hold onto Kunduz's military base and airport. [ADD] Reporting described the capture of Kunduz as \'the most significant gain for the Taliban since they launched their offensive in May\' with the city being one of Afghanistan's largest settlements, well connected to other major locations in country including the capital city Kabul and considered part of a major Asian drug smuggling route. Afghan politician and former mujahideen Ismail Khan declared the formation of People's Resistance Movement of Western Afghanistan to fight the Taliban in Herat Province. On 2 August 2021, President Ghani blamed the advance of the Taliban on the sudden withdrawal of U.S. troops and said the former had not cut ties with terrorist organizations and had escalated attacks against women, which the Taliban denied. <Reactions - Domestic> -- The Taliban captures the capitals of the Kunduz, Takhar, and Sar-e Pol provinces. In Kunduz, the Taliban seize key government buildings, leaving the government forces only in control of the airport. In Takhar, the Taliban seize Taloqan, and heavy fighting was reported as the Taliban intensifies its offensive in the north. In Sar-e Pol, the Taliban drive government forces out of the main military base. 
"
2,"On 2 August there were 15 new cases of COVID-19, 2 overseas acquired. Consequently, the South-east Queensland’s lockdown was extended until 4:00pm on 8 August (Sunday). The same day, because of the extension, the Ekka agricultural show was cancelled for the second year, 5 days before it was to be open to the public from 7 August (Saturday). [ADD] <Timeline - Brisbane lockdowns> -- Cairns and Yarrabah enter a snap three-day lockdown after an ""unexpected"" case of COVID-19 was reported in a taxi driver from Kanimbla who was infectious in Far North Queensland for 10 days. 
"
3,"On 8 August the lockdown in SE Queensland ended, though some restrictions remained in force, including mandatory wearing of masks. This was due to an ""unexpected"" case of COVID-19, a taxi driver who was infectious in the community for ten days. [ADD] <Timeline - Brisbane lockdowns> -- Cairns and Yarrabah enter a snap three-day lockdown after an ""unexpected"" case of COVID-19 was reported in a taxi driver from Kanimbla who was infectious in Far North Queensland for 10 days. 
"
4,"On [ADD] 9 August, Cairns went into lockdown from 4:00pm for three days. The next festival event is scheduled for Saturday, 22 May 2021. <Event cancellations> -- Cairns and Yarrabah enter a snap three-day lockdown after an ""unexpected"" case of COVID-19 was reported in a taxi driver from Kanimbla who was infectious in Far North Queensland for 10 days. 
"
5,"Palauans began receiving COVID-19 vaccines in 2021. As a member of the Compact of Free Association with the United States, Palau has received vaccines from Operation Warp Speed. According to the Ministry of Health, vaccination started on 3 January and as of 12 April 40% of the population was fully vaccinated. By 26 May, an estimated 96% of adults (18 and over) in the country had been fully vaccinated. By the time the first case was detected, 97% of the adult population was vaccinated, about 70% of all Palauans. Plans were also announced to start vaccinating adolescents from 12 to 17. [ADD] <Vaccination> -- Palau reaches herd immunity as 80% of its 12-and-over population are vaccinated against COVID-19. Plans to vaccinate teenagers are underway as tourism reopens in the country. 
"
6,"In summer 2020, Egypt received five Su-35 jets, despite the American threatening with sanctions. However, the Russian journalist, Ivan Safronov, who revealed the transaction was detained for disclosing a state secret. As of 2015[update] Egypt is the most popular tourist destination for Russians traveling abroad—a basic vacation package including flight, hotel and meals can be purchased for as little as US$1,000. [ADD] <Tourism> -- Direct commercial flights between Russia and Egypt resume for the first time since the Metrojet Flight 9268 bombing in 2015, which killed 224 people, most of whom were Russian tourists. A Rossiya Airlines passenger plane landed in Sharm El Sheikh carrying 518 passengers, and was welcomed with a water cannon salute, roses and flags. 
"
7,"In August 2021, direct commercial flights between Russia and Egypt resumed for the first time since the Metrojet Flight 9268 bombing in 2015, which killed 224 people, most of whom were Russian tourists. [ADD] A Rossiya Airlines passenger plane landed in Sharm El Sheikh carrying 518 passengers, and was welcomed with a water cannon salute, roses and flags. -- Direct commercial flights between Russia and Egypt resume for the first time since the Metrojet Flight 9268 bombing in 2015, which killed 224 people, most of whom were Russian tourists. A Rossiya Airlines passenger plane landed in Sharm El Sheikh carrying 518 passengers, and was welcomed with a water cannon salute, roses and flags. 
"
8,"The following day, the Taliban captured the cities of Kunduz and Sar-e Pol after heavy clashes with the Afghan National Security Forces. In the battles for the two cities, mass desertions were reported, as many Afghan National Army soldiers had been demotivated by the rapid rebel advance as well as Taliban propaganda. Pro-government forces were only able to hold onto Kunduz's military base and airport. Reporters described the capture of Kunduz as ""the most significant gain for the Taliban since they launched their offensive in May"" with the city being one of Afghanistan's largest settlements, well connected to other notable locations in the country including Kabul and considered part of a major Central Asian drug smuggling route. The city of Taloqan was also taken by the Taliban on late 8 August, making it the fifth provincial capital to fall. Government forces retreated from the city after noon. [ADD] <Timeline - August> -- The Taliban captures Samangan (Aibak), the provincial capital of Samangan Province, making it the sixth capture of a provincial capital by the Islamist group in the past four days. 
"
9,"On 9 August, the Taliban captured Aybak, the capital of Samangan province. Deputy governor Sefatullah Samangani told the AFP news agency that government forces had withdrawn from the city without a fight after community representatives had requested that it be spared more violence. On the same day, Asif Azimi, a former senator from Samangan and a prominent warlord from the Jamiat-e Islami party, defected to the Taliban. Azimi said hundreds of men under his command had also defected to the Taliban. [ADD] President Ashraf Ghani and other political leaders also agreed to form a joint command center to coordinate and assist with public uprising forces. [ADD] <Timeline - August> -- The Taliban tightens its grip in many districts and cities in northern Afghanistan as Afghan President Ashraf Ghani calls on local militias to fight the armed group. Pentagon spokesman John Kirby says that the United States is willing to continue their airstrike campaign against the Taliban but warned that ""it is up to the Afghan government to defend themselves"" and also added that ""it is their struggle"". 
"
10,"Fighting intensified around Mazar-i-Sharif on 10 August. [ADD] In Farah, capital of Farah Province, the Taliban had taken control of the governor's compound with heavy fighting between the Taliban and government forces. [ADD] They had also taken control of the police headquarters and prison. [ADD] Although heavy fighting continued, Farah is the seventh provincial capital to fall. According to a U.S. defence official, the airstrikes since 2 July amounted to only ""a handful"" each day. <Analysis> -- The Taliban tightens its grip in many districts and cities in northern Afghanistan as Afghan President Ashraf Ghani calls on local militias to fight the armed group. Pentagon spokesman John Kirby says that the United States is willing to continue their airstrike campaign against the Taliban but warned that ""it is up to the Afghan government to defend themselves"" and also added that ""it is their struggle"". 
"
11,"nan -- The Taliban tightens its grip in many districts and cities in northern Afghanistan as Afghan President Ashraf Ghani calls on local militias to fight the armed group. Pentagon spokesman John Kirby says that the United States is willing to continue their airstrike campaign against the Taliban but warned that ""it is up to the Afghan government to defend themselves"" and also added that ""it is their struggle"". 
"
