,reponse
0,"Article: The Taliban captured the provincial capital of Nimruz Province, Zaranj, making it the first major Taliban capture of a provincial city since the 2001 invasion. Twenty more people were wounded in the Taliban takeover."
1,"Hundreds of Afghan government soldiers and police officers have fled their posts in a Taliban offensive in the northern Zaranj province, which has been under Taliban control since July 2018, according to two Afghan officials. In addition, Taliban forces have now advanced to the larger provincial capital of Zaranj, and have also captured the municipal building and the provincial police headquarters, ousting government forces from the area. Meanwhile, in the southern Sar-"
2,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

<Background> -- The Taliban captures Zaran"
3,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. The Taliban captures Zaranj, the provincial capital of"
4,"Due to the spread of COVID-19 in the region, the local government has imposed a three-day lockdown on Cairns and Yarrabah. This comes in the wake of the latest case of infection which was reported in a taxi driver who was unknowingly travelling around the area for 10 days.

The lockdown will be in effect from May 21 to May 23. All residents of Cairns and"
5,"According to recent reports, the Taliban has captured the provincial capital of Nimruz Province, Zaranj, making it its first major capture of a provincial city since the 2001 invasion. This news is especially troubling as it indicates that the Taliban is becoming more powerful and focused on taking control of more areas of Northern Afghanistan. The Afghanistan Analysts Network suggests that this move could be an attempt to prevent the Northern Alliance's reformation"
6,"According to reports from the Taliban, the group has captured the provincial capital of Nimruz Province, Zaranj, making it the first major capture of a provincial city since the U.S. invasion in 2001. The Taliban has deployed its forces in the north to respond to the plan of the Northern Alliance to form a second Northern Alliance after U.S. withdrawal, which many have seen as the group's attempt to solidify its"
7,"One of the largest post-war Afghan battles in the south ended last week after the Taliban had captured the strategic city of Zaranj in Nimruz Province. The Taliban’s expansion into this province could be a sign of things to come as anti-government forces continue to encroach on territory in the north, seeking to block the formation of a second Northern Alliance. Despite the loss of Zaranj, the Afghan government has not conceded"
8,"[UPDATED] During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. [Timeline] -- The Taliban capt"
9,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance.
According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaran"
10,"Afghanistan's fight against the Taliban in the wake of U.S. withdrawal is gaining momentum after the militants captured Zaranj, the provincial capital of Nimruz Province, in May. The Pentagon spokesman, John Kirby, stated that the United States is willing to continue their airstrike campaign against the Taliban, but warned that it is up to the Afghan government to defend themselves. He also added that it"
11,"When the Taliban captured Zaranj in Nimruz Province on August 5, 2021, it marked the first time the group has taken over a major provincial city since their ouster from power in 2001. This development could signal an expansion of Taliban's reach in Afghanistan. The U.S.-backed Afghan government, whose forces are in a fragile state, may soon be faced with a Taliban takeover"
