,idx,response
0,0,"UPDATED VERSION:

Since the start of their offensive on 1 May 2021, the Taliban and allied militant groups have been capturing districts and cities in Afghanistan's provinces. The latest development in the ongoing conflict is the capture of Zaranj, the provincial capital of Nimruz Province, by the Taliban. This marks the first major capture of a provincial city by the group since the 2001 invasion. A spokesperson for the local police has confirmed that the city has fallen under Taliban control, and blames the lack of reinforcements of military from the central government for the defeat. The Taliban now control over half of Afghanistan's provinces, including key border crossings with neighboring countries. Meanwhile, the Afghan government has vowed to retake all districts seized by the Taliban, and countries like Russia and China have expressed concerns about the security situation in the region. The conflict has led to a sharp increase in civilian deaths and a possible migratory crisis as people"
1,1,"UPDATED VERSION:

Wildfires continue to ravage Greece, forcing mass evacuations in the northern suburbs of Athens. The death toll has risen to two, with a volunteer firefighter killed by a fallen electricity pylon and another man dying in a factory. Twenty more people have been injured in the blazes, which have burned dozens of homes and caused extensive damage. This comes after a historic heatwave for the country, with the largest wildfires burning in Attica, Olympia, Messenia, and Euboea. Authorities are working to contain the fires and protect affected communities."
2,3,"UPDATED VERSION:

The Australian state of Queensland has entered a snap lockdown after a taxi driver from Kanimbla tested positive for COVID-19. The driver was infectious in Far North Queensland for 10 days, prompting lockdown restrictions to be put in place in Cairns and Yarrabah. The unexpected case has caused concern in the state, which has so far had one of the lowest fatality rates in the world. As of the end of July 2021, Queensland had recorded the death of just 7 patients with COVID-19, and has been praised for its handling of the pandemic. The state's legislation was strengthened early on in the pandemic, giving the Chief Health Officer the power to make 'Directions' that could restrict movement, gatherings, and business activities, along with border closures and other measures. Queensland reopened its borders to all Australian states and territories except Western Australia on 1 February 2021, but has since implemented restrictions on areas with reported case numbers or outbreaks. The state has also cancelled a number of public events and festivals, including the Ekka agricultural show and the Big Pineapple Music Festival."
3,4,"UPDATED VERSION:

Palau, a small island nation in the western Pacific, has achieved herd immunity against COVID-19 as 80% of its population aged 12 years and above have been fully vaccinated against the contagious disease. The country, which confirmed its first case of COVID-19 on May 31, 2021, had closed its borders early on and imposed strict control measures, including a quarantine for non-citizens entering the country. As a member of the Compact of Free Association with the United States, Palau received vaccines from the American Operation Warp Speed program. By May 26, an estimated 96% of adults (18 and over) in the country had been fully vaccinated, while 70% of all Palauans had received their shots. The vaccination program, coupled with border controls, allowed the country to maintain zero COVID-19 cases for months. Additionally, Palau and Taiwan established a ""travel bubble"" in April, allowing people to safely travel between the two countries despite the pandemic. The Pacific island has now announced plans to vaccinate adolescents aged 12 to 17 as it reopens its doors to tourists."
4,5,"UPDATED VERSION:

Egypt-Russia relations have a long history dating back to the 16th century, and today, the two countries have resumed direct commercial flights for the first time since the 2015 Metrojet Flight 9268 bombing. The incident, which killed 224 people, mostly Russian tourists, strained the already complicated relationship between the two nations. However, since the removal of former Egyptian President Mohamed Morsi from office in 2013, Egypt and Russia have strengthened their military and trade ties through multiple rounds of bilateral visits, the signing of arms deals worth billions of dollars, and agreements to build Egypt's first nuclear reactor and a ""Russian Industrial Zone"" along the Suez Canal. In 2020, Egypt reportedly dispatched 150 troops to help the Syrian government, while Russia has been supporting the Syrian government and intervening militarily in its favor since 2015. Despite the ups and downs in their relationship, Russians remain the largest group of outsiders to visit Egypt, while the country is the most popular tourist destination for Russians traveling abroad. The two countries are also collaborating in higher education, as the Egyptian Russian University was established in Badr City, Cairo, in 2006, offering training in pharmacy and engineering."
5,9,"UPDATED VERSION:

Wildfires have ravaged Algeria since August 9, 2021 and have left 65 individuals dead, including 37 civilians and 28 soldiers. As of recent news, the death toll has risen to 65 with fires continuing to burn across the country. Algerian authorities have sent soldiers to aid with evacuations and the fires that started in the Kabyle region and other parts of the country. These fires have affected the Mediterranean vegetation, resulting in the destruction of olive trees and killing of cattle and chickens. Although some villagers have fled the blazes, others attempted to contain them with limited resources such as buckets, branches and basic equipment. The country has been battling a total of 69 fires for the past four days with firefighting aircraft not available. President Abdelmadjid Tebboune has announced three days of national mourning for those who lost their lives in the devastating wildfires."
6,10,"UPDATED VERSION:

Lebanon's ongoing financial crisis continues to worsen as the Central Bank of Lebanon recently announced the end of fuel subsidies. Instead, it will offer ""credit lines for fuel imports based on the market price for the Lebanese pound."" This decision is expected to lead to a substantial increase in fuel prices, further exacerbating the country's already dire economic situation. The Lebanese pound has been pegged to the US dollar since 1997, but due to various financial hardships, including the growing probability that the Lebanese government will default on its debt obligations, its black market value has significantly diverged from the official exchange rate. The financial crisis has been further intensified by the COVID-19 pandemic and the 2020 Beirut port explosion. The country's consumer goods prices have increased by 580% since October, and its GDP has fallen to around 44 billion USD from about 55 billion USD the year before. The shortage of US dollars, used in everyday transactions, and the rapid devaluation of the Lebanese pound have resulted in significant inflation and a massive loss of purchasing power, leading to an increase in poverty. These liquidity issues have also created a barrier for depositors, who have been unable to access their deposits and withdraw US dollars directly. The financial crisis has also led the country to default on its Eurobond debt, and Lebanon has become junk-rated. Prime Minister Hassan Diab has resigned, and there have been widespread protests with citizens expressing anger at the government and the governor of the central bank. On 1 June 2021, the World Bank warned that the economic crisis in Lebanon would risk becoming one of the three most severe since the mid-19th century if the country's bankrupt economic system, which benefited a few for so long, wasn't reformed."
7,21,"UPDATED VERSION:

Canadian Prime Minister Justin Trudeau has obtained the dissolution of the House of Commons for an election scheduled on September 20, 2021. This election will determine the members of the House of Commons for the 44th Canadian Parliament. The fixed-date provisions of the Canada Elections Act dictate that federal elections have to be held on the third Monday of October in the fourth calendar year after the polling day of the previous election. However, since the current government is a minority government, the election has been before the scheduled date if Parliament is dissolved by the Governor General of Canada due to a motion of no confidence in the government or at the recommendation of the Prime Minister of Canada for a snap election.

The 2019 federal election saw the incumbents, the Liberals led by Justin Trudeau, losing their majority but still winning the most seats. The Conservatives remained as the Official Opposition with Andrew Scheer temporarily staying as the Leader of the Opposition until his resignation, which triggered a leadership election. The Bloc Québécois became the third party while the New Democrats lost seats but maintained their official party status. The Greens increased their seats in the House of Commons, but they ultimately failed to achieve the required number of MPs, i.e., twelve, for official party status.

Several incumbents have announced that they would not run in the upcoming federal election, including Hastings—Lennox and Addington MP Derek Sloan, who was expelled from the Conservative Caucus, and Haldimand—Norfolk MP Diane Finley, who had already announced in August 2020 that she would not run in the next election. 

After a Leaders' Debates Commission report recommended two debates every future election, a permanent and publicly funded commission was suggested to be created solely tasked with organizing future debates. The commission, not the government, will also set the criteria for participation in future election debates. 

In June 2020, Liberal Michael Levitt resigned as MP for York Centre to become the President and CEO of the Canadian Friends of Simon Wiesenthal Centre for Holocaust Studies, triggering a by-election in the York Centre riding, which was won by Liberal Ya'ara Saks. 

The 44th federal election will see Canadians head to the polls on September 20, 2021, to vote for members who will represent them in the House of Commons at the Canadian Parliament."
8,24,"UPDATED VERSION:

The Panjshir conflict, a political dispute between the Islamic Republic of Afghanistan and the Taliban which began following the Fall of Kabul in 2021, has seen new developments. As of August 2021, the Panjshir Valley was ""the only region out of [the] Taliban's hands"", though the situation has now changed. According to reports from Russian intelligence sources, Panjshir resistance forces loyal to Amrullah Saleh have managed to re-capture Charikar and the surrounding areas of Parwan Province from the Taliban.

Prior to the Fall of Kabul, Panjshiris began moving military equipment from surrounding areas, including helicopters and armored vehicles, into Panjshir Province. There, they were joined by commanders of the Afghan National Army Commando Corps. On 17 August 2021, Amrullah Saleh declared himself President of Afghanistan from the Panjshir Valley, citing provisions of the Constitution of Afghanistan, and vowed to continue military operations against the Taliban from there.

At around the same time, remnants of the Afghan National Army began massing in the Panjshir Valley at the urging of Masoud. As of 17 August, the Panjshir Valley was ""under siege on all sides"" but had not come under direct attack. The situation remained tense, though no military conflict had occurred in Panjshir Province and a negotiated end to the political impasse had been discussed.

With the recent news of the Panjshir resistance forces' success in re-capturing Charikar and the surrounding areas of Parwan Province, it remains to be seen how the conflict will progress. The Taliban has consolidated its control over Afghanistan since the Fall of Kabul, but pockets of resistance remain, with the Panjshir Valley serving as a focal point for opposition to Taliban rule."
9,27,"UPDATED VERSION:

The 2021 Niger attacks continue with yet another tragedy as gunmen attacked a mosque in the village of Theim in southwestern Niger, killing 16 people who were praying. This attack comes after a series of deadly attacks carried out by Islamist militants in western Niger's Tillabéri region, resulting in the deaths of 439 people and over 100 others injured this year alone. The region has seen attacks every month in 2021, with some of the deadliest attacks occurring during Niger's municipal and regional elections. The attacks are carried out by militants crossing the border from Mali, targeting civilians and soldiers alike. The terrorist organization responsible for the attacks is not yet clear. Newly elected President Mohamed Bazoum has condemned the attacks and declared three days of national mourning. These attacks have left the nation in mourning and struggling to find a way to stop the violence."
